Graph Name,Num of Nodes,Num of Edges,Num of Critical Nodes,Num of Critical Edges
pair_1707_slow.js,18,34,9,11
pair_17083_fast.js,14,26,7,6
pair_17083_slow.js,15,28,7,6
pair_17118_fast.js,19,36,9,12
pair_17118_slow.js,19,36,9,12
pair_17188_fast.js,12,22,6,5
pair_17188_slow.js,12,22,6,7
pair_17237_fast.js,6,10,5,6
pair_17237_slow.js,9,16,4,3
pair_17250_fast.js,23,44,9,8
pair_17250_slow.js,23,44,11,15
pair_17395_fast.js,13,24,6,5
pair_17395_slow.js,20,38,9,8
pair_17421_fast.js,15,28,7,7
pair_17421_slow.js,18,34,9,9
pair_17425_fast.js,14,26,7,6
pair_17425_slow.js,15,28,7,6
pair_17551_fast.js,11,20,5,5
pair_17551_slow.js,11,20,5,4
pair_17682_fast.js,13,24,6,5
pair_17682_slow.js,19,36,9,10
pair_17711_fast.js,26,50,13,17
pair_17711_slow.js,24,46,12,17
pair_17748_fast.js,15,28,7,6
pair_17748_slow.js,15,28,7,6
pair_17769_fast.js,17,32,8,8
pair_17769_slow.js,17,32,7,7
pair_17899_fast.js,17,32,8,9
pair_17899_slow.js,25,48,9,10
pair_18007_fast.js,5,8,5,6
pair_18007_slow.js,5,8,5,6
pair_18022_fast.js,13,24,6,5
pair_18022_slow.js,16,30,8,9
pair_18085_fast.js,5,8,5,6
pair_18085_slow.js,5,8,5,6
pair_18090_fast.js,17,32,8,10
pair_18090_slow.js,18,34,9,10
pair_18150_fast.js,13,24,6,5
pair_18150_slow.js,13,24,6,5
pair_18247_fast.js,16,30,8,9
pair_18247_slow.js,31,60,3,2
pair_18330_fast.js,14,26,7,8
pair_18330_slow.js,14,26,7,8
pair_18465_fast.js,13,24,6,5
pair_18465_slow.js,13,24,6,7
pair_18476_fast.js,14,26,7,6
pair_18476_slow.js,13,24,6,5
pair_18496_fast.js,15,28,7,8
pair_18496_slow.js,15,28,7,6
pair_18504_fast.js,33,64,16,22
pair_18504_slow.js,27,52,13,16
pair_1860_fast.js,15,28,7,8
pair_1860_slow.js,15,28,7,10
pair_18639_fast.js,19,36,9,12
pair_18639_slow.js,34,66,17,26
pair_18803_fast.js,26,50,6,5
pair_18803_slow.js,29,56,5,4
pair_18831_fast.js,16,30,8,8
pair_18831_slow.js,19,36,9,9
pair_18839_fast.js,22,42,11,12
pair_18839_slow.js,28,54,14,17
pair_18916_fast.js,14,26,7,7
pair_18916_slow.js,14,26,7,7
pair_1897_fast.js,19,36,9,11
pair_1897_slow.js,13,24,6,8
pair_19005_fast.js,11,20,5,4
pair_19005_slow.js,10,18,5,4
pair_19017_fast.js,5,8,5,6
pair_19017_slow.js,5,8,5,6
pair_19087_fast.js,12,22,6,6
pair_19087_slow.js,14,26,7,7
pair_191_fast.js,13,24,6,6
pair_191_slow.js,12,22,6,6
pair_19202_fast.js,9,16,4,3
pair_19202_slow.js,9,16,4,3
pair_19217_fast.js,15,28,7,6
pair_19217_slow.js,15,28,7,6
pair_19259_fast.js,22,42,9,8
pair_19259_slow.js,26,50,9,8
pair_19260_fast.js,12,22,6,5
pair_19260_slow.js,12,22,6,5
pair_19287_fast.js,17,32,8,10
pair_19287_slow.js,17,32,7,7
pair_19328_fast.js,13,24,6,5
pair_19328_slow.js,15,28,7,6
pair_19340_fast.js,5,8,5,6
pair_19340_slow.js,5,8,5,6
pair_19397_fast.js,17,32,8,8
pair_19397_slow.js,22,42,11,14
pair_19449_fast.js,21,40,10,13
pair_19449_slow.js,21,40,10,13
pair_1950_fast.js,22,42,11,14
pair_1950_slow.js,22,42,7,7
pair_19586_fast.js,27,52,10,11
pair_19586_slow.js,26,50,10,11
pair_19668_fast.js,19,36,9,9
pair_19668_slow.js,18,34,9,10
pair_1969_fast.js,22,42,11,16
pair_1969_slow.js,18,34,9,13
pair_19830_fast.js,21,40,9,10
pair_19830_slow.js,24,46,11,14
pair_19897_fast.js,14,26,7,8
pair_19897_slow.js,14,26,7,9
pair_19943_fast.js,17,32,8,9
pair_19943_slow.js,17,32,8,8
pair_19976_fast.js,12,22,6,7
pair_19976_slow.js,13,24,5,4
pair_20007_fast.js,15,28,7,8
pair_20007_slow.js,13,24,6,7
pair_20034_fast.js,5,8,5,6
pair_20034_slow.js,5,8,5,6
pair_20108_fast.js,13,24,6,6
pair_20108_slow.js,12,22,6,6
pair_20177_fast.js,17,32,8,8
pair_20177_slow.js,14,26,7,6
pair_20277_fast.js,20,38,10,10
pair_20277_slow.js,24,46,12,13
pair_20310_fast.js,28,54,9,8
pair_20310_slow.js,30,58,4,3
pair_20359_fast.js,18,34,9,9
pair_20359_slow.js,19,36,7,6
pair_20587_fast.js,12,22,6,6
pair_20587_slow.js,13,24,6,5
pair_20757_fast.js,18,34,9,8
pair_20757_slow.js,18,34,9,8
pair_20942_fast.js,10,18,5,4
pair_20942_slow.js,11,20,5,5
pair_20959_fast.js,22,42,11,14
pair_20959_slow.js,22,42,11,14
pair_21048_fast.js,17,32,8,11
pair_21048_slow.js,19,36,9,12
pair_21097_fast.js,5,8,5,6
pair_21097_slow.js,10,18,5,4
pair_21167_fast.js,23,44,11,14
pair_21167_slow.js,23,44,11,14
pair_21262_fast.js,9,16,4,3
pair_21262_slow.js,8,14,4,3
pair_2131_fast.js,15,28,7,7
pair_2131_slow.js,14,26,7,7
pair_21504_fast.js,12,22,6,5
pair_21504_slow.js,14,26,7,6
pair_21568_fast.js,26,50,13,17
pair_21568_slow.js,26,50,13,17
pair_21726_fast.js,10,18,5,6
pair_21726_slow.js,10,18,5,6
pair_21780_fast.js,13,24,6,7
pair_21780_slow.js,13,24,6,5
pair_2179_fast.js,11,20,5,5
pair_2179_slow.js,11,20,5,6
pair_21948_fast.js,14,26,7,7
pair_21948_slow.js,19,36,9,11
pair_21985_fast.js,13,24,6,5
pair_21985_slow.js,18,34,9,9
pair_22011_fast.js,13,24,6,7
pair_22011_slow.js,14,26,7,8
pair_22101_fast.js,12,22,6,5
pair_22101_slow.js,17,32,8,8
pair_2211_fast.js,22,42,11,12
pair_2211_slow.js,22,42,9,9
pair_22160_fast.js,13,24,6,5
pair_22160_slow.js,18,34,9,12
pair_22201_fast.js,9,16,4,3
pair_22201_slow.js,10,18,5,5
pair_22237_fast.js,17,32,8,9
pair_22237_slow.js,18,34,9,11
pair_22437_fast.js,18,34,9,12
pair_22437_slow.js,18,34,9,14
pair_2246_fast.js,31,60,12,13
pair_2246_slow.js,35,68,12,14
pair_22514_fast.js,14,26,7,6
pair_22514_slow.js,26,50,13,16
pair_22517_fast.js,13,24,6,6
pair_22517_slow.js,13,24,6,6
pair_22689_fast.js,20,38,10,11
pair_22689_slow.js,20,38,10,11
pair_22752_fast.js,8,14,4,4
pair_22752_slow.js,7,12,3,2
pair_2285_fast.js,25,48,5,4
pair_2285_slow.js,25,48,6,7
pair_22988_fast.js,12,22,6,7
pair_22988_slow.js,14,26,7,9
pair_23186_fast.js,11,20,5,5
pair_23186_slow.js,11,20,5,4
pair_2321_fast.js,20,38,10,15
pair_2321_slow.js,18,34,9,14
pair_23221_fast.js,16,30,8,12
pair_23221_slow.js,16,30,8,12
pair_2323_fast.js,17,32,8,7
pair_2323_slow.js,15,28,7,7
pair_23362_fast.js,16,30,8,8
pair_23362_slow.js,16,30,8,8
pair_2341_fast.js,22,42,8,7
pair_2341_slow.js,21,40,10,11
pair_23441_fast.js,5,8,5,6
pair_23441_slow.js,5,8,5,6
pair_23446_fast.js,8,14,4,4
pair_23446_slow.js,10,18,5,4
pair_236_fast.js,20,38,10,13
pair_236_slow.js,17,32,8,9
pair_23720_fast.js,17,32,8,8
pair_23720_slow.js,17,32,8,8
pair_23726_fast.js,19,36,9,8
pair_23726_slow.js,19,36,9,8
pair_23742_fast.js,15,28,7,6
pair_23742_slow.js,15,28,7,9
pair_23801_fast.js,12,22,6,5
pair_23801_slow.js,12,22,6,6
pair_23808_fast.js,8,14,3,2
pair_23808_slow.js,8,14,4,4
pair_23855_fast.js,22,42,9,8
pair_23855_slow.js,16,30,7,6
pair_23938_fast.js,11,20,5,4
pair_23938_slow.js,11,20,5,4
pair_23996_fast.js,12,22,6,7
pair_23996_slow.js,12,22,6,7
pair_24131_fast.js,14,26,7,6
pair_24131_slow.js,26,50,13,15
pair_24201_fast.js,26,50,4,3
pair_24201_slow.js,26,50,6,5
pair_24211_fast.js,22,42,11,14
pair_24211_slow.js,22,42,11,16
pair_24253_fast.js,6,10,5,6
pair_24253_slow.js,15,28,7,8
pair_24334_fast.js,7,12,3,2
pair_24334_slow.js,7,12,3,2
pair_24399_fast.js,13,24,6,5
pair_24399_slow.js,15,28,7,7
pair_24459_fast.js,19,36,9,13
pair_24459_slow.js,16,30,8,10
pair_24460_fast.js,13,24,6,5
pair_24460_slow.js,13,24,6,5
pair_24473_fast.js,5,8,5,6
pair_24473_slow.js,9,16,4,3
pair_24489_fast.js,13,24,6,7
pair_24489_slow.js,13,24,6,8
pair_24523_fast.js,13,24,6,7
pair_24523_slow.js,12,22,6,7
pair_2458_fast.js,17,32,8,8
pair_2458_slow.js,16,30,8,10
pair_24612_fast.js,20,38,9,8
pair_24612_slow.js,20,38,10,13
pair_24816_fast.js,14,26,7,8
pair_24816_slow.js,16,30,8,7
pair_24828_fast.js,10,18,5,5
pair_24828_slow.js,10,18,5,6
pair_24952_fast.js,30,58,15,26
pair_24952_slow.js,24,46,12,17
pair_24956_fast.js,13,24,6,6
pair_24956_slow.js,16,30,8,7
pair_25175_fast.js,22,42,10,12
pair_25175_slow.js,22,42,9,11
pair_25192_fast.js,25,48,12,12
pair_25192_slow.js,25,48,12,13
pair_25206_fast.js,22,42,11,13
pair_25206_slow.js,24,46,12,16
pair_25426_fast.js,16,30,8,9
pair_25426_slow.js,12,22,6,6
pair_25471_fast.js,9,16,4,4
pair_25471_slow.js,9,16,4,3
pair_25603_fast.js,16,30,8,9
pair_25603_slow.js,19,36,9,10
pair_25630_fast.js,17,32,8,7
pair_25630_slow.js,16,30,8,8
pair_25675_fast.js,36,70,18,25
pair_25675_slow.js,36,70,18,25
pair_25683_fast.js,5,8,5,6
pair_25683_slow.js,10,18,5,4
pair_25714_fast.js,22,42,11,13
pair_25714_slow.js,24,46,12,15
pair_25720_fast.js,16,30,8,9
pair_25720_slow.js,14,26,7,6
pair_25732_fast.js,12,22,6,6
pair_25732_slow.js,11,20,5,5
pair_25743_fast.js,20,38,6,5
pair_25743_slow.js,16,30,8,8
pair_25767_fast.js,18,34,9,8
pair_25767_slow.js,22,42,9,9
pair_2594_fast.js,21,40,6,5
pair_2594_slow.js,18,34,8,7
pair_26034_fast.js,6,10,5,6
pair_26034_slow.js,6,10,5,6
pair_26120_fast.js,11,20,5,5
pair_26120_slow.js,9,16,4,3
pair_26219_fast.js,21,40,10,10
pair_26219_slow.js,23,44,11,11
pair_26399_fast.js,26,50,9,10
pair_26399_slow.js,25,48,9,10
pair_26429_fast.js,21,40,10,12
pair_26429_slow.js,20,38,10,13
pair_26456_fast.js,24,46,12,18
pair_26456_slow.js,24,46,12,15
pair_26575_fast.js,13,24,6,6
pair_26575_slow.js,15,28,7,6
pair_26634_fast.js,9,16,4,3
pair_26634_slow.js,9,16,4,3
pair_2672_fast.js,20,38,7,7
pair_2672_slow.js,20,38,7,6
pair_26758_fast.js,15,28,5,4
pair_26758_slow.js,11,20,5,6
pair_2678_fast.js,25,48,12,14
pair_2678_slow.js,25,48,12,15
pair_26816_fast.js,17,32,8,10
pair_26816_slow.js,16,30,8,10
pair_26870_fast.js,4,6,4,4
pair_26870_slow.js,4,6,4,4
pair_27059_fast.js,15,28,7,7
pair_27059_slow.js,14,26,7,7
pair_2711_fast.js,12,22,6,5
pair_2711_slow.js,13,24,6,5
pair_2712_fast.js,12,22,6,5
pair_2712_slow.js,13,24,6,5
pair_27187_fast.js,27,52,13,17
pair_27187_slow.js,26,50,13,18
pair_27276_fast.js,16,30,8,7
pair_27276_slow.js,13,24,6,5
pair_27299_fast.js,17,32,8,9
pair_27299_slow.js,17,32,8,7
pair_27386_fast.js,11,20,5,4
pair_27386_slow.js,11,20,5,4
pair_27484_fast.js,10,18,5,5
pair_27484_slow.js,10,18,5,5
pair_27549_fast.js,14,26,7,7
pair_27549_slow.js,14,26,7,7
pair_27614_fast.js,11,20,5,5
pair_27614_slow.js,12,22,6,6
pair_27640_fast.js,11,20,5,4
pair_27640_slow.js,11,20,5,5
pair_27788_fast.js,20,38,9,8
pair_27788_slow.js,20,38,9,8
pair_27821_fast.js,15,28,7,8
pair_27821_slow.js,16,30,8,7
pair_27917_fast.js,21,40,10,11
pair_27917_slow.js,14,26,7,6
pair_28031_fast.js,14,26,7,6
pair_28031_slow.js,18,34,6,5
pair_28035_fast.js,13,24,6,6
pair_28035_slow.js,17,32,8,9
pair_28040_fast.js,16,30,7,6
pair_28040_slow.js,22,42,10,12
pair_2805_fast.js,15,28,7,6
pair_2805_slow.js,20,38,10,10
pair_28077_fast.js,29,56,14,22
pair_28077_slow.js,20,38,10,14
pair_28113_fast.js,9,16,4,3
pair_28113_slow.js,9,16,4,4
pair_28165_fast.js,17,32,8,8
pair_28165_slow.js,19,36,9,13
pair_28246_fast.js,22,42,11,13
pair_28246_slow.js,25,48,11,13
pair_28271_fast.js,11,20,5,4
pair_28271_slow.js,11,20,5,4
pair_28292_fast.js,11,20,5,4
pair_28292_slow.js,13,24,6,7
pair_28327_fast.js,35,68,17,24
pair_28327_slow.js,35,68,17,24
pair_28363_fast.js,13,24,6,5
pair_28363_slow.js,13,24,6,5
pair_28385_fast.js,19,36,9,9
pair_28385_slow.js,17,32,8,10
pair_28389_fast.js,22,42,11,11
pair_28389_slow.js,22,42,11,12
pair_28399_fast.js,18,34,9,15
pair_28399_slow.js,13,24,6,8
pair_28410_fast.js,25,48,12,15
pair_28410_slow.js,20,38,10,11
pair_28441_fast.js,4,6,4,4
pair_28441_slow.js,4,6,4,4
pair_28492_fast.js,6,10,5,6
pair_28492_slow.js,8,14,2,1
pair_28549_fast.js,15,28,7,8
pair_28549_slow.js,20,38,9,8
pair_28561_fast.js,6,10,5,6
pair_28561_slow.js,17,32,8,13
pair_28627_fast.js,16,30,8,8
pair_28627_slow.js,24,46,11,13
pair_28661_fast.js,9,16,4,4
pair_28661_slow.js,9,16,4,4
pair_28688_fast.js,17,32,8,9
pair_28688_slow.js,17,32,7,6
pair_28767_fast.js,14,26,7,7
pair_28767_slow.js,17,32,8,9
pair_28808_fast.js,15,28,7,9
